source,label,frame,length
3D,17点モデル(拡張前),38,0.30061775625740744
3D,17点モデル(拡張前),39,0.31221424856084495
3D,17点モデル(拡張前),40,0.3115210628764515
3D,17点モデル(拡張前),41,0.3223587157238948
3D,17点モデル(拡張前),42,0.3235730235652512
3D,17点モデル(拡張前),43,0.3097034176877097
3D,17点モデル(拡張前),44,0.2947529557904657
3D,17点モデル(拡張前),45,0.2971620321137194
3D,17点モデル(拡張前),46,0.3321278675745219
3D,17点モデル(拡張前),47,0.3443883278951094
3D,17点モデル(拡張前),48,0.32737559317602655
3D,17点モデル(拡張前),49,0.3441493406762285
3D,17点モデル(拡張前),50,0.363299087703567
3D,17点モデル(拡張前),51,0.36472094103631886
3D,17点モデル(拡張前),52,0.3387285635288859
3D,17点モデル(拡張前),53,0.3579277543340572
3D,17点モデル(拡張前),54,0.3428098171493436
3D,17点モデル(拡張前),55,0.33796439714827675
3D,17点モデル(拡張前),56,0.34816587954618006
3D,17点モデル(拡張前),57,0.33580663967038804
3D,17点モデル(拡張前),58,0.3596286733769584
3D,17点モデル(拡張前),59,0.3632480954255369
3D,17点モデル(拡張前),60,0.36582865871053244
3D,17点モデル(拡張前),61,0.3765521126738384
3D,17点モデル(拡張前),62,0.3755148927119076
3D,17点モデル(拡張前),63,0.3943948468348805
3D,17点モデル(拡張前),64,0.41126348844578703
3D,17点モデル(拡張前),65,0.40889574445012783
3D,17点モデル(拡張前),66,0.4013441831521325
3D,17点モデル(拡張前),67,0.37400501397020086
3D,17点モデル(拡張前),68,0.38201005812657585
3D,17点モデル(拡張前),69,0.41020444927784117
3D,17点モデル(拡張前),70,0.4101972482442088
3D,17点モデル(拡張前),71,0.4116397856581985
3D,17点モデル(拡張前),72,0.3949938235142842
3D,17点モデル(拡張前),73,0.4112869954572177
3D,17点モデル(拡張前),74,0.4110956111489259
3D,17点モデル(拡張前),75,0.40283109931264033
3D,17点モデル(拡張前),76,0.4017759961762002
3D,17点モデル(拡張前),77,0.37527503442590426
3D,17点モデル(拡張前),78,0.3661839085524758
3D,17点モデル(拡張前),79,0.3646732279292996
3D,17点モデル(拡張前),80,0.37380891211067324
3D,17点モデル(拡張前),81,0.3751509822041746
3D,17点モデル(拡張前),82,0.3642718653240967
3D,17点モデル(拡張前),83,0.37473135466808266
3D,17点モデル(拡張前),84,0.3747396896698201
3D,17点モデル(拡張前),85,0.3741722244029205
3D,17点モデル(拡張前),86,0.3735235772446028
3D,17点モデル(拡張前),87,0.3740082329619293
3D,17点モデル(拡張前),88,0.36436871224118916
3D,17点モデル(拡張前),89,0.36453620788631275
3D,17点モデル(拡張前),90,0.36436871224118916
3D,17点モデル(拡張前),91,0.36436871224118916
3D,17点モデル(拡張前),92,0.36436871224118916
3D,17点モデル(拡張前),93,0.36436871224118916
3D,17点モデル(拡張前),94,0.36436871224118916
3D,17点モデル(拡張前),95,0.36436871224118916
3D,17点モデル(拡張前),96,0.36444078242326183
3D,17点モデル(拡張前),97,0.36444078242326183
