source,kind,joint,frame,angle_deg
2D,推定,spine3,98,155.53036758201227
2D,推定,spine3,99,156.05365095482665
2D,推定,spine3,100,155.71802131734097
2D,推定,spine3,101,154.6993840765339
2D,推定,spine4,1,154.22213388055462
2D,推定,spine4,2,156.47224209153606
2D,推定,spine4,3,158.3858931911739
2D,推定,spine4,4,159.77468758787126
2D,推定,spine4,5,157.90465701451276
2D,推定,spine4,6,156.002156012473
2D,推定,spine4,7,155.68221212803792
2D,推定,spine4,8,154.29797085949568
2D,推定,spine4,9,152.4546311813288
2D,推定,spine4,10,149.98955614013337
2D,推定,spine4,11,146.994647518396
2D,推定,spine4,12,146.08463487617982
2D,推定,spine4,13,146.64789666999985
2D,推定,spine4,14,149.4961200943579
2D,推定,spine4,15,151.21727182007908
2D,推定,spine4,16,159.9233306172834
2D,推定,spine4,17,159.7320601120083
2D,推定,spine4,18,158.7481904869438
2D,推定,spine4,19,160.59989514362593
2D,推定,spine4,20,163.248644936769
2D,推定,spine4,21,161.5835382696827
2D,推定,spine4,22,166.54715749947212
2D,推定,spine4,23,175.76745433527037
2D,推定,spine4,24,173.98676004934188
2D,推定,spine4,25,172.56145267635628
2D,推定,spine4,26,176.46498708357075
2D,推定,spine4,27,176.48454718711054
2D,推定,spine4,28,175.68165700940878
2D,推定,spine4,29,169.2239644097472
2D,推定,spine4,30,167.46982749701323
2D,推定,spine4,31,173.81880274484377
2D,推定,spine4,32,170.94794831910377
2D,推定,spine4,33,172.92005231085065
2D,推定,spine4,34,166.34746540434384
2D,推定,spine4,35,167.95541271488554
2D,推定,spine4,36,156.84683447361022
2D,推定,spine4,37,158.04813914290492
2D,推定,spine4,38,158.03642959831174
2D,推定,spine4,39,161.67468386320803
2D,推定,spine4,40,158.40145461618516
2D,推定,spine4,41,157.7953939288947
2D,推定,spine4,42,157.50786401600476
2D,推定,spine4,43,151.6575629081874
2D,推定,spine4,44,154.32927736109366
2D,推定,spine4,45,157.98427946683012
2D,推定,spine4,46,160.38067183721625
2D,推定,spine4,47,165.18444622967993
2D,推定,spine4,48,160.7583209415701
2D,推定,spine4,49,163.72926285828376
2D,推定,spine4,50,157.94306855278703
2D,推定,spine4,51,159.31725883073773
2D,推定,spine4,52,162.1433228584844
2D,推定,spine4,53,157.89099462414683
2D,推定,spine4,54,160.28018659628754
2D,推定,spine4,55,161.54994766310602
2D,推定,spine4,56,164.01340737239542
2D,推定,spine4,57,165.71446009325965
2D,推定,spine4,58,172.36158139951263
2D,推定,spine4,59,167.36488544422625
2D,推定,spine4,60,167.291112363692
2D,推定,spine4,61,173.40793399481197
2D,推定,spine4,62,177.65969961307846
2D,推定,spine4,63,176.9409889422416
2D,推定,spine4,64,175.93143686799934
2D,推定,spine4,65,177.09008567166217
2D,推定,spine4,66,173.34588018903273
2D,推定,spine4,67,171.39899800091752
2D,推定,spine4,68,173.28378830797934
2D,推定,spine4,69,174.41480529328624
2D,推定,spine4,70,174.87906774376512
2D,推定,spine4,71,172.5101409090497
2D,推定,spine4,72,175.85903685603174
2D,推定,spine4,73,167.72355163716628
2D,推定,spine4,74,166.0418674633257
2D,推定,spine4,75,164.03111570558602
2D,推定,spine4,76,163.1782530786434
2D,推定,spine4,77,165.49581379403918
2D,推定,spine4,78,162.86930972965996
2D,推定,spine4,79,167.20992371188376
2D,推定,spine4,80,171.03993093800776
2D,推定,spine4,81,169.28417391403042
2D,推定,spine4,82,169.5822101148819
2D,推定,spine4,83,170.23200548774224
2D,推定,spine4,84,171.19757823370963
2D,推定,spine4,85,170.71452976416884
2D,推定,spine4,86,170.68442703895573
2D,推定,spine4,87,169.80226395358713
2D,推定,spine4,88,170.17251929367677
2D,推定,spine4,89,170.1326203362445
2D,推定,spine4,90,170.16870735844816
2D,推定,spine4,91,170.37524415920845
2D,推定,spine4,92,169.70909649455768
2D,推定,spine4,93,169.2720001248994
2D,推定,spine4,94,169.57243732400067
2D,推定,spine4,95,168.92828846646563
2D,推定,spine4,96,168.32772047214013
2D,推定,spine4,97,169.0138136635216
2D,推定,spine4,98,169.1918426011431
2D,推定,spine4,99,168.72438412757813
2D,推定,spine4,100,168.8353188153161
2D,推定,spine4,101,168.6324934733467
2D,推定,left_elbow,1,163.05823106071028
2D,推定,left_elbow,2,166.99722340014304
2D,推定,left_elbow,3,154.65651183660123
2D,推定,left_elbow,4,179.17635876950527
2D,推定,left_elbow,5,154.26131293149533
2D,推定,left_elbow,6,134.7015519605935
2D,推定,left_elbow,7,117.36419713714324
2D,推定,left_elbow,8,142.43060190426738
2D,推定,left_elbow,9,146.29991549868555
2D,推定,left_elbow,10,170.46929704306663
2D,推定,left_elbow,11,163.58520914902653
2D,推定,left_elbow,12,149.97573977510342
2D,推定,left_elbow,13,158.97765805577836
2D,推定,left_elbow,14,157.17246510211046
2D,推定,left_elbow,15,155.74360620607914
2D,推定,left_elbow,16,162.24345204572197
2D,推定,left_elbow,17,168.7722852055917
2D,推定,left_elbow,18,168.85110615720393
2D,推定,left_elbow,19,138.88893405190362
2D,推定,left_elbow,20,143.85548880925546
2D,推定,left_elbow,21,137.3540222054756
2D,推定,left_elbow,22,109.76449358656932
2D,推定,left_elbow,23,106.39652662685177
2D,推定,left_elbow,24,143.78236311350545
2D,推定,left_elbow,25,128.79781232541265
2D,推定,left_elbow,26,115.97241049281241
2D,推定,left_elbow,27,83.92134974976408
2D,推定,left_elbow,28,103.0616302314543
2D,推定,left_elbow,29,122.75752880488828
2D,推定,left_elbow,30,107.2478898277933
2D,推定,left_elbow,31,120.79120115562765
2D,推定,left_elbow,32,110.92187849538186
2D,推定,left_elbow,33,116.9515193620774
2D,推定,left_elbow,34,137.5673821996675
2D,推定,left_elbow,35,132.7192743164103
2D,推定,left_elbow,36,132.9870913675514
2D,推定,left_elbow,37,135.91733291429327
2D,推定,left_elbow,38,115.18543390392615
2D,推定,left_elbow,39,115.3129809967863
2D,推定,left_elbow,40,138.08337458914357
2D,推定,left_elbow,41,138.7676499960387
2D,推定,left_elbow,42,111.365344868284
2D,推定,left_elbow,43,148.55154400365225
2D,推定,left_elbow,44,146.9889770436388
2D,推定,left_elbow,45,134.0213763407241
2D,推定,left_elbow,46,137.67806547902032
2D,推定,left_elbow,47,149.91720579280323
2D,推定,left_elbow,48,156.9546475557502
2D,推定,left_elbow,49,141.4788413701927
2D,推定,left_elbow,50,144.8610678249839
2D,推定,left_elbow,51,151.79982569105817
2D,推定,left_elbow,52,150.93265675517063
2D,推定,left_elbow,53,128.87002450770785
2D,推定,left_elbow,54,130.49335549091128
